Localidade,Abastecimento de água,Alagamento,Drenagem,Esgoto,Lixo,Vazamento de água,Total
Baixa do Sapateiro,2.0,0,2.0,32.0,25.0,1.0,62
Bento Ribeiro Dantas,0,0,0,1.0,2.0,0,3
Conjunto Esperança,0,0,1.0,2.0,1.0,0,4
Conjunto Pinheiros,0,0,0,2.0,1.0,0,3
Marcílio Dias,0,0,4.0,1.0,2.0,0,7
Morro do Timbau,2.0,0,2.0,4.0,19.0,0,27
Nova Holanda,1.0,0,6.0,23.0,12.0,0,42
Nova Maré,0,0,0,12.0,6.0,0,18
Parque Maré,2.0,0,0,11.0,5.0,0,18
Parque Rubens Vaz,0,0,1.0,8.0,1.0,0,10
Parque União,0,0,0,19.0,5.0,0,24
Praia de Ramos,0,0,1.0,0,0,0,1
Roquete Pinto,0,0,3.0,16.0,6.0,0,25
Salsa e Merengue,0,0,0,7.0,11.0,0,18
Vila do João,0,0,0,7.0,3.0,0,10
Vila dos Pinheiros,0,1.0,7.0,26.0,16.0,0,50
Total,7,1,27,171,115,1,322
